transliteration,translation
KIŠIB a-šur-be-el-a-wa-tim DUMU zu-ba KIŠIB i-dí-IŠTAR DUMU a-šur-ma-lik KIŠIB en-num-a-šur DUMU a-šur-UTU KIŠIB a-bu-ša-lim DUMU a-šur-be-el-a-wa-tim ⅓ ma-na 8 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-bu-ša-lim DUMU a-šur-be-el-a-wa-tim en-na-sú-in i-šu iš-tù ha-mu-uš-tim ša kà-ší-im ša qá-té a-šur-ma-lik ú en-na-sú-in ITU.KAM ma-hu-ur-ì-lí li-mu-um ša qá-té a-šur-na-da DUMU PUZUR4-a-na 8 GÍN KÙ.BABBAR a-na 3 ha-am-ša-tim i-ša-qal 10 GÍN KÙ.BABBAR a-na 6 ha-am-ša-tim i-ša-qal 10 GÍN wa-ar-kà-tám a-na 10 ha-am-ša-tim i-ša-qal šu-ma i-na u4-me-šu ma-al-ú-tim lá iš-qú-ul ki-ma a-wa-at kà-ri-im i ITU.KAM ṣí-ib-tám ú-ṣa-áb KÙ.BABBAR ik-ri-bu ša a-šur,"Seal of Aššur-bēl-awātim, seal of Zuba, seal of Iddin-Ištar, son of Aššur-mālik, seal of Ennam-Aššur, son of Aššur-šamšī, seal of Abu-šalim, son of Aššur-bēl-awātim.28 shekels of refined silver Abu-šalim, son of Aššur-bēl-awātim, owes to Ennam-Suen.From the week of the official who took over from Aššur-mālik,and Ennam-Suen, month 4, eponymy of the successor of Aššur-nādā, son of Puzur-Anna, he will pay 8 shekelswithin 3 weeks, 10 shekels within 6 weeks he will pay, and 10 shekels he will pay later, within another 10 weeks. If he does not pay when his term is over he will add interest per month in accordance with the regulation of the colony. The silver istem fund of Aššur."
dakāšu I,"~ ""to press in"" O G (a) om. of parts of body, stat. ""are depressed""; jB med. ""press on"" s.o.; OB math. ""press out, enlarge"" geometrical figure Gt stat. tidkuš(at) ""is pressed"" OB of liver D ~ G of disease legap> . only"
ṣīpu II,(a salt) MB(Ass.)
<gap> -a-šur ú ša-ha- <gap> KÙ.BABBAR ša šé-ep-IŠTAR a-na šu-IŠTAR <gap> en-um-a-šur il5-qé 1 GÚ 20 ma-na <gap> TÚG ku-ta-ni ú 2 ma-na AN.NA qá-tim <gap> en-um-a-šur il5-qé 1 ma-na 8 GÍN KÙ.BABBAR <gap> ANŠE.HI.A en-um-a-šur il5-qé ší-im 9 ku-ta-ni <gap> 4 ší-it-ri en-um-a-šur il5-qé i-na mì-ma a-nim ša i-na ma-ah-ri-ni i-ší-ik-nu-ni <gap> ma-na KÙ.BABBAR ṣa-ru-pá-am i li-bi šu-IŠTAR en-um-a-šur i-dí-ma a-na 5 ha-am-ša-tim šu-IŠTAR DUMU šu-ki-tim a-na en-um-a-šur i-ša-qal <gap> 5 ku-ta-ni ú 30 ma-na AN.NA i-na li-bi šu-IŠTAR šu-ma i-na 40 ha-am-ša-tim <gap> lá-áp-tù a-na wa-šu- <gap> šu-IŠTAR DUMU šu-ki-tim <gap> i-ša-qal šu-ma i- <gap> KIŠIB lá-bi- <gap> ù a-na <gap> da <gap>,"<gap> gap> -Aššur and Šahagap> silver belonging to Šēp-Ištar Ennam-Aššur received for Šu-Ištar. 1 talent 20 minas of tin gap> -tegap> tiles and 2 minas of hand tin Ennam-Aššur received. 1 mina 8 shekels of silver and gap> donkeys Ennam-Aššur received. The proceeds from 9 and 4 undergarments Ennam-Aššur received. Of all this that was ced before us Ennam-Aššur noted gap> mina of refined silver as owed by Šu-Ištar, and Šu-Ištar son of Šukkutum must pay within 5 weeks to Ennam-Aššur. gap> 5 and 30 minas of tin gap> Šu-Ištar. If he has not paid within 40 weeks as noted down gap> Šu-Ištar son of Šukkutum must pay gap>"
warrāšû I,"""very grimy"" OB legap> ., of person;"
iddanna I,"""if necessary, at a pinch; in any case"" OB;"
panakku I,"""triangle inscribed in one-third of a circle"" OB math. [PAN ];"
Halbatu I,(a month) OB(Elam)
kuṣṣuṣu I,"""(one) cripd by lack of hand"" O legap> .;"
nuhhuṣu I,"D ""to shake"" jB legap> ."
našparu II,"""messenger, envoy"" Bab. [OB freq. NA.AŠ.PAR];"
muštahalqu I,"~ ""deserter"" NB;"
darūba I,(an animal) jB (or scribal error )
maksu I,"""tagap> ed"" OB, of donkey;"
garīdu I,"""beaver"" jB med., testicle of g."
um-ma ṣí-lá-{d}IM-ma a-na en-um-a-šur qí-bi4-ma a-na-kam be-lu-ba-ni a-šu-mì KÙ.BABBAR aṣ-ba-at-ma um-ma šu-ut-ma ha-ra-ni a kà-ni-iš a-lá-ak-ma ú-ṭá-áb-šu a-šu-mì sà-he-er-tim aṣ-ba-sú-ma um-ma šu-ut-ma šu-ma lá KÙ.BABBAR sà-he-er-tám mì-ma lá ha-bu-lá-ku a-ta ma-lá-kà ra-mì-ni lá ṭá-áb-ma ṣú-ha-ri-a lá-aṭ-ru-dam,"From Ṣill-Adad to Ennam-Aššur: I seized Bēlum-bāni here because of the silver, and he said: I am on my way to Kanesh so I shall satisfy him."" I seized him because of the small goods and he said: ""Apart from the silver I do not owe him small goods."" Make up your mind. I am not feeling well myself, so I shall send you my servants."""
salāhu II,"~ ""to jerk, twitch"" O G (i) of hair, part of liver D Mari stat. ""is paralyzed"""
šerimtu I,"1. OB as gap> mng. unkn.2. NB ""cutting; weeding"" on field"
um-ma a-šùr-ba-ni-ma a-na šu-pé-e-nu-ma-an um-mì-iš-ha-ra a-ší-tí-šu ú ha-nu qí-bi4-ma a-wa-tim lá dam-qá-tim ma-áš-ha-tim áš-me a-pu-tum a-ma-kam É bé-tám ù ṭup-pé-e ú-lu mì-ma-a-ma ša-ṣí-ra šu-ma a- <gap> a <gap> a-šùr-mu-ta-bi4-il5 ú a-šur-SIPA mì-ma-ša-ma lu ṭup-pè-e e-ri-šu-ku-nu a-pu-tum lá ta-da-na-šu-nu-šu a ma-lá ha-nu ša-hu-zu-ni 1 GÍN.TA ma-lá ṭup-pè-e i-lá-qé-ú qá-sú ša ha-nu lá ta-kà-lá-a li-il5-qé ú šu-ma kà-lá ṭup-pè-e e-ri-iš-ku-nu lá ta-kà-lá-a-šu li-il5-qé ṭup-pá-am ša ni-pì-il5-tí be-lá-nim DUMU šu-a-šur ša a-na um-mì-ni e-zi-bu ha-nu a pá-ni-a lu-ub-lá-šu a-pu-tum ša-ṣí-ra-ma ṭup-pè-e qá-tí ha-nu li-iṣ-ba-at ṭup-pè-e qá-tí a-sà-nim DUMU šu-hu-bur ú a-he-e-a e iṣ-ba-at-ma É a-bi4-ni a-na a-wa-tim e ta-dí-a eṭ-lúm lá SIG5 ih-da-ma ša-ṣí-ra,"<gap> From Aššur-bāni to Šuppi-numan, Ummī-Išhara, his wife and hanu: I have heard words that were not good but diminishing. It is urgent that you guard the house, the tablets and anything else there! If Agap> , Aššur-muttabbil or Aššur-rē’ī asks you for anything, also tablets, then it is imperative that you do not give them anything! As hanu has been instructed, every shekel that he receives in accordance with the tablets is hanu’s share. Do not hold it back! Let him receive it. Also, if he demands all the tablets from you, then do not hold him back but let him take them. As for the tablet concerning the balance payment of Bēlānum son of Šu-Aššur that I left for our mother, hanu should bring that to me. It is urgent that you stand guard! As for the tablets, let hanu take them! He must not take the tablets in the hands of Asānum son of Šu-hubur or my brothers and you must not set our father’s house up for a lawsuit. The young man is no good. Take care and stand guard!"
maknaktu I,"""seal"" NB;"
eršahungû I,(an Emesal cultic prayer) M [ÉR.ŠÀ.HUN.GÁ] also associated ritual;
abūsātu I,"tant. ""forelock"" jB; abūsāt šīri (a deformity)"
lilibu I,"(part of horse-trappings) jB legap> ., of leather"
mašhulduppû I,"""scapegoat, kid as egap> piatory sacrifice"" jB [MÁŠ.HUL.DÚB(.BA)];"
manāma I,"""somebody; who(so)ever""; m. lā ""no-one""; m. (ša) ""whoever"""
naburru I,"(or napurru) ""battlement(s)"" jB(Ass.);"
mulūgūtu I,~ mulūgu Nuzi
4.5 GÍN KÙ.BABBAR ša šu-IŠTAR be-lum-ra-bi4 iṣ-ba-at um-ma be-lum-ra-bi4-ma a-na a-wa-at šu-IŠTAR ma-ṣa-ku IGI en-na-sú-in IGI PUZUR4-lá-ah IGI ku-ra,"4.5 shekels of silver, belonging to Šu-Ištar, Bēlum-rabi seized. Bēlum-rabi declared: I take the responsibility vis-à-vis Šu-Ištar."" Before Ennam-Suen, before Puzur-lah before Kura."""
tīlu II,"(a fish) Ug., jB, legap> ."
sapāqu I,"1. NA ""to be sufficient"" of garrison2. NB legap> . ""to be able, strong"""
mahhû I,"""ecstatic, prophet"" OAkk, Bab., NA [LÚ.GUB.BA]; also OB (a bird);"
hālu II,"""(black) mole"" on skin O"
ūsu I,"""usage, custom, good practice"" Bab.; kī ū. ""according to tradition""; ""correct procedure"" for seed-ugh; ū. šūhuzu(m) ""to teach good practices"";"
parā'u I,"""to cut off, slice through"" O, NA G (a) stone, root, thread, harvest; head, hand, lips; transf. life D ~ G jB; belt, vein, vegetation; life N pass. of G, of thread, root ""be cut through"""
kuṣīru I,(or kuzīrum) (a binding) OB;
qaššu I,"f. qadištu ""holy; dedicated"" OA, O; OA of building, as desig. of cultic personnel; jB as epith. of river;"
nar'amātu I,"tant. 1. OB(Susa) ina n.-šu ""of his free will, voluntarily""2. MB (āl) n. ""favourite (city)"""
mallittu I,mng. unkn. jB legap> .
šuluṭṭu I,(a preparation of aromatics) jB
namrūtu I,"""mother-of-pearl"" jB; of the sea (ša tâmti);"
akû III,"~ ""mooring pole"" jB legap> ."
ušultu II,"""(lump of) mud"" jB [IM.LAGAB]; from river; in intestine"
ušmedû I,(a kind of meat) jB legap> .
bintu I,"""daughter"" O, MA;"
tiklu I,"""help, support"" M(Ass.), Ug.; esp. in of gods as ""helpers"";"
kaltu I,"~ ""vassal(-ruler)"" Mari"
ruṣṣunu I,"~ ""loud-voiced"" jB, epith. of goddess, person;"
arbūtu I,"""desolation"" M [(MUNUS.)KAR- ] in a. šūluku ""to make desolate, lay waste"";"
mussipu I,"~ ""scoop"" MA;"
itahliṣū I,(an illness affecting the head) jB legap> .;
haṣṣinnu I,"Mari, NB f. ""agap> e"" [OB URUDU.HA.ZI.IN] of copper, silver, gold etc."
a-na a-lá-hi-im qí-bi-ma um-ma zu-ku-a-ma ší-im an-ni-ki-kà a-dí a-na-ku a-na ša-lá-tù-wa-ar e-ru-bu KÙ.BABBAR lá i-ší-qí-il5 iš-tù u4-mì-im ša e-ru-bu KÙ.BABBAR ú-ša-áš-qí-il5 11 ma-na 12 GÍN KÙ.BABBAR e-zi-ib ša-du-e-tí-im ší-im AN.NA-ki-kà iz-ku-wa-ku ú lá-ma a-li-kà-ni AN.NA ta-dí-in i-ku-pí-a áš-a-al-ma um-ma šu-ut-ma 8 GÍN LÁ 22.5 ŠE.TA ta-dí-in 11 ma-na 12 GÍN KÙ.BABBAR AN.NA-ki-kà ma-ma-hi-ir i-ku-pí-a a-na šu-ki-tim i-dí-nu-ma DUMU šál-ma-{d}IM na-áš-a-kum i-na ša ṭup-pí-šu 4 ma-na KÙ.BABBAR šu-kà-tám ú-ša-áš-qí-il5-šu ku-nu-ki ša šu-ki-tim šu-hu-bur na-áš-a-kum GÁN-lam5 a-šu-mì šu-ki-tim a-dí kà-ni-iš{ki} e-tí-qám ŠU.NÍGIN KÙ.BABBAR-pí-kà lu ší-im AN.NA lu ša šu-ki-tim 15 ma-na 12 GÍN KÙ.BABBAR šu-hu-bur na-áš-a-kum ší-tí KÙ.BABBAR-pí-kà 2 ma-na ša li-bi šu-ki-tim KÙ.BABBAR-kà KÙ.BABBAR a-na ší-a-ma-tim šu-ut ú ma tí iš-tí šu-hu-bur iš-ku-nu-ni a-ma-kam i li-bi-kà,"To Ali-ahum from Zukuwa: As to the price for your tin, before I arrived at Šalatuwar the silver was not paid. The day I arrived I had the silver paid. 11 minas 12 shekels of silver apart from the transport tariff was cleared for you as the proceeds from your tin, but before I came the tin was sold. I questioned Ikūn-pīya and he said: ""It was sold at the rate of 8 shekels minus 22.5 grains."" 11 minas 12 shekels of silver (the price of) your tin, Man-mahir (and) Ikūn-pīya gave to Šukkutum and the son of Šalim-Adad brings it to you. I made Šukkutum pay 4 minas of silver from what is in his tablet. Šu-Hubur brings that under Šukkutum's seal. The silver should pass overland in the name of Šukkutum to Kanesh. Total of your silver, both the proceeds from the tin and that from Šukkutum, 15 minas 12 shekels of silver, Šu-Hubur brings to you. The rest of your silver, 2 minas owed by Šukkutum — is your silver. Silver for purchases and he gap> set down with Šu-Hubur. There in your possession gap> I seized it from their silver so satisfy yourself with the silver. As to the 8 minas of sealed tin and the šilipki'u that Ilī-ašrannī brought, in accordance with your instructions I have sold the tin and the tegap> tile to Šukkutum."
eršu I,"f. erištu ""wise"" OAkk, O of deity, king etc.;"
hultuppu I,"liter. ""evilly striking"" jB (desig. of demon); also O (a month in Elam);"
adurû I,"""village, farmstead"" Bab. [É.DURU5];"
<gap> GÍN KÙ.BABBAR i li-bi e-wa-ri-mu-ša 10 GÍN KÙ.BABBAR i li-bi a-mur-IŠTAR 10 GÍN KÙ.BABBAR i li-bi a-lu-wa 7.5 GÍN KÙ.BABBAR i li-bi ki-zi 16.5 GÍN KÙ.BABBAR i li-bi ú-šu-ha-ta 13.5 GÍN KÙ.BABBAR i li-bi a-ra-ša i-na ša tù-ùh-tù-ha-ni i-ša-qal,<gap> gap> shekels of silver owed by Ewarimuša; 10 shekels of silver owed by Ṣilli-Ištar; 10 shekels of silver owed by Aluwa;
enimtarru I,"""rejection of claim"" OB legap> .;"
ramāmu I,"""to roar, growl"" O G (u) of person, animal; of Adad, i.e. thunder; of battle, illness, drum, earth, building(s) Gtn iter. [MU7.MU7] of Adad"
3 GÚ URUDU ma-as-am ku-nu-ki-a a-ha-ma 20 ma-na URUDU ma-as-am šu-ut il5-qé ŠU.NÍGIN 3 GÚ 20 ma-na URUDU ma-as-a-am ù 2 ANŠE.HI.A ṣa-lá-mì ša PUZUR4-sú-in a-na i-ku-pì-a DUMU da-dí-a áp-qí-id IGI PUZUR4-a-šur DUMU lá-am-ni-a-nim IGI PUZUR4.IŠTAR DUMU a-šur-ta-ak-lá-ku IGI DUMU a-šur-be-el-a-wa-tim NU.BÀNDA,"3 talents of washed copper under my seal, and further, 20 minas of washed copper he received -"
hanizarru I,(a functionary) OB(Shemshara);
humṭu I,"""haste"" OB;"
šilašu I,(an animal) jB legap> .
mašdû I,(a stone) jB
kisikku I,(a vase) Mari; = kisiggû
alāku I,"""to go"" G (illak, illik; perf. ittalak (cf. GAG §97n)) [DU] 1. of person, animal; + vent. ""come"", jB imper. alka ""well, now then!""; + ana ""go to"" somewhere, + dat. pron. suff. ""to"" s.o.; ""move along, walk""; ana šīmti a. ""go to o.'s destiny, die""; OB a. epēšum ""travel""; MA (of horses) ""trot""; warki pī gap> a. ""follow, serve"" s.o.; cf. dinānu; as ptcp. ālik mahri 'who walks in front' = ""predecessor"" [IGI.DU]; ālik pānim 'who walks before' = ""leader, predecessor"" (cf. ālik-pānûtu); ālik arki ""successor""2. of letters, tablets etc. ""arrive""; of military campaign, vehicles, celestial bodies ""move""; of wind ""blow""; of rain ""fall""; of incense, radiance ""spread""; of skin, flesh etc. ""flake off""; of liquids ""flow""; of time ""pass""3. with internal objects: + idu ""go at s.o.'s side"" = ""come to s.o.'s aid""; ""go on, along"" a way, path, road, ""pass through"" the desert; šiddam pūtam a. 'go length and width' of an area = ""survey"" a field4. ilka a. ""perform (military) service""; dikûtu a. ""report for call-up""; NB našpartu a. ""fulfil an order, manage a business""5. with abstr. noun ending in -ūtu and before adv. ""become""6. misc.: of price ""be current, in force"", of commodity ""be worth, fetch""; of interest ""accumulate""; of (ominous) signs ""appear""; ""be appropriate, possible, available""; of greed ""aim at"" silver; ana pānīšu a. ""advance, grow larger""; NB math. X GAM.RÁ Y a. ""multi X by Y""7. NA with ellipsis of qabā'u freq. before dir. speechGtn [DU.DU] ""go, come repeatedly; roam about, wander"", muttallik mūši [LÚ.GE6.A.DU.DU; (LÚ.)GE6.DU.DU] 'who walks around during the night' = ""night-watchman""; OB of leg muscles ""twitch persistently"" Gt ""go off, away"" (cf. GAG §92e) differentiation between pret. of Gt and perf. of G difficult Š caus. of G [DU] with abstr. noun ending in -ūtu or adv. ""make s.o./s.th. (become)"" s.th.; stat. ""is appropriate, suitable"" [TÚM.MA]"
kišādānuššu I,"""on his neck"" jB;"
dayyāšu I,"adj. ""threshing"" of ogap> jB legap> .;"
šullušû I,"""made of or with (something) trid"" jB legap> .;"
šubāhu I,mng. unkn. jB
ūru IV,"""city"" jB legap> .;"
tabbānu I,mng. unkn. jB legap> .
mugammertu I,"'that gathers', i.e. ""the sea"" jB legap> .;"
šâqu IV,"""to tremble"" jB legap> . G"
mešurru I,(a topog. term) NA
šurāru I,(a ceremony) Mari
ṣallamu I,"""black, very dark"" j ""black (peo)"" [GE6.MEŠ]; of sheep, donkeys;"
ulību I,(or ulīpum) (a sauce) OB legap> .
šutû III,(desig. of a metal vessel) Nuzi; jB legap> .
pilaqquhuli I,"""(le) spinner"" Alal.;"
um-ma me-er-ú i-dí-a-bi4-im-ma a-na ša-lim-a-šùr-ma a-na a-i-tim tù-kà-al-ni-a-tí lá-mì-id-ni-a-tí um-ma ša-lim-a-šur-ma 43 ma-na KÙ.BABBAR i-na a-lim{ki} i-na na-ru-qí-a i-na KÙ.BABBAR a-hi-e-em i-na pí-i i-sú-rik13 hu-bu-ul a-bi-ku-nu áš-qúl qá-ta-tum a-na-ku KÙ.BABBAR ù ṣí-ba-sú ú ṣí-ba-at ṣí-ib-tim a-šé-e-ku-nu a-na a-ni-tim ú-kà-al-ku-nu ù a-ha-ma 8 ma-na KÙ.BABBAR šu-bé-lúm ša-al-ṭí ša i-na ha-hi-im il5-qé-ú šu-be-lam5 we-dí-šu-ma a-šé-e ù ṭup-pì-a ša GÁN-lim a-mar-ma KÙ.BABBAR ma-lá hu-bu-ul a-bi-ku-nu ú-ša-qí-lu-ú ù ma-lá KÙ.BABBAR-áp a-bi4-ku-nu al-qé-ú ú-ra-am a-qá-bi-a-ku-nu-tí a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI lá-qé-ep DUMU a-šùr-ma-lik IGI a-ba-ta-na-nim DUMU a-šur-{d}UTU-ši IGI en-na-nim DUMU am-ri-a,"The sons of Iddin-abum said as follows to Šalim-Aššur: For which things do you detain us Inform us!"" Šalim-Aššur answered: ""I paid 43 minas of silver in the City from my joint-stock capital out of silver not my own on the order of Issu-arik to cover your father's debt. I am the guarantor: I sue you for the silver, the interest and the compound interest. For these things I detain you. Furthermore, 8 minas of silver, my funds, that Šu-Bēlum took in hahhum, for that I sue Šu-Bēlum alone. So, I shall check my tablets that are in Anatolia, and tomorrow I shall tell you how much silver I have paid for your father's debt, and how much silver belonging to your father I have received."" The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Lā-qēp son of Aššur-malik, by Abatanānum son of Aššur-šamšī, by Ennānum son of Amriya."""
paqāyu I,"""mat-weaver"" M"
ušburrudû I,"""ritual to dispel sorcery"" jB, NA [UŠ11.BÚR.RU.DA]; NA u. epāšu ""to carry out r."", šumerāni ša ušburrudâni ""the Sumerian (tegap> ts) of the rituals"";"
alappānu I,"1. O legap> . ""sweet pomegranate""2. O, Mari, NA (a sweet beer) in (šikar) l.; Mari ša a. ""(le) brewer"""
a-na da-da-a-a a-lá-hi-im ù {d}EN.LÍL-ba-ni qí-bi-ma um-ma PUZUR4-a-šur-ma ⅓ ma-na 2 GÍN KÙ.BABBAR šu-hu-bur DUMU i-dí-a-bi4-im li-iš-qú-lá-ku-nu-tí-ma KÙ.BABBAR šu-a-tí a-na {d}EN.LÍL-ba-ni DUMU a-šùr-ma-lik šu-uq-lá-ma ṭup-pí šé-ṣí-a-ma li-it-a-ma a-šar a-lá-hi-im i-na li-bi-i ṭup-pé-e-a šu-uk-na a-hu-ú-a a-tù-nu ih-da-ma KÙ.BABBAR šu-hu-bur ša-áš-qí-lá-ma ṭup-pí-i šé-ṣí-a-nim,"To Dadaya, Ali-ahum and Illil-bāni from Puzur-Aššur: Šu-hubur son of Iddin-abum should pay you ⅓ mina 2 shekels of silver, and then pay this silver to Ilill-bāni son of Aššur-malik, obtain the release of my tablet, st it and ce it with my other tablets with Ali-ahum. My dear brothers, take care to have Šu-hubur pay the silver and obtain the release of my tablet for me."
šapru II,"""thigh"" O, Elam, Bogh. [HÁŠ] of persons, esp. š. mahāṣu ""to strike the thigh"" as gesture; of animals; transf. of part of cart"
mišûtu I,mng. unkn. jB legap> .;
kallimu I,"~ ""delivery (of a person)"" OB;"
dayyaltu I,"~ ""(hunting) foray"" NA;"
hammuṣu I,(desig. of low grade of copper) Nuzi;
kutmā'išu I,"(a container) Ug., of bronze"
sīrāšītu I,"""le brewer"" OB(Susa), Nuzi;"
našṭaptu I,(a configuration on the liver) Early Mari egap> t.;
ulmu I,"m. & f. (a weapon, phps.) ""agap> e"" M, M, of iron; Ug. for a ship"
isirtu I,"""incarceration"" Nuzi;"
alālu II,"""to hang up, suspend"" Bab. G (a, pres. OB i'allal, jB illal) ""hang (up)"" peo as punishment, ""hang up, suspend"" objects; stat. OB egap> t. ""is 'hanging'"" (wr. halil etc.) Gt ""be tangled; be allied with"" also in gap>s OAkk, OB D stat. only egap> t. ""is hung (about) with"" s.th. Dt pass. of D Š jB in qāta šūlulu ""stay o.'s hand"" N of objects ""be hung up""; of lamentation ""hang (in the air)"""
nentû I,"N ""to overlap"" or ""go parallel with each other"" jB, astr. of stars Ntn (pret. ittentu) iter. of stars; of animals"
ṭabtu I,"""salt"" [MUN; also occas. DU10- ] culinary; for conserving meat, fish etc.; ṭ. šadî ""rock salt""; on saline land;"
šaššaṭu I,"(a disease of the joints) O med., mag.; also of sheep; (šam) š. ""nt, drug for š."""
abbuttu I,"(a hair-style) O, Nuzi as mark of slavery; a. šakānum ""to give (s.o.) an a. hair-style"", also as punishment; a. gullubu ""to shear the a. hair-style off""; (a part of the head, of the hair) jB om., of baby's abnormality, of dog"
nishu II,"mng. unkn. MB(Alal.), Nuzi"
persu I,"""division"" Bab. 1. Mari [KUD] ""section"" of troops, rabi p. ""section commander""2. jB legap> . ""sector"" of orchard3. jB legap> . (a part of the entrails)4. ""cutting"" of thread, ""cessation"" of flood5. ""section"" of tegap> t, ""partial tablet"""
sukinnu I,"(or suqinnu(m)), sukannum ""lane, narrow path"" O; OA through mountains for smuggling; MA in town"
sikkūru I,"m. & f. ""bar, bolt"" [GIŠ.SAG.KUL] of wood, copper, for lock; on door, waggon; transf. of heaven, Ebeh s. māti ""Mt. Ebeh, bolt of the land""; part of womb; s. šaq [GIŠ.SAG.KUL.LÁL.MA] (a kind of bolt);"
1.5 GÍN KÙ.BABBAR a-na a-šur-ma-lik 1 GÍN a-na ba-ba-a-a <gap> GÍN a-na šu-ku-bi4-im <gap> i-nu-mì a-na a-lim{ki} i-li-ku-ni a-na ni-qé-šu-nu a-dí-in,<gap> 1.5 shekel of silver for Aššur-malik;
